scenario,arrival_rate,avg_waiting_time,median_waiting_time,p95_waiting_time,max_waiting_time,avg_service_time,median_service_time,utilization,utilization_JUNIOR,utilization_STANDARD,utilization_SENIOR,completed_customers,abandoned_customers,abandonment_rate,max_queue_length,avg_customer_satisfaction,pct_satisfied,avg_wait_LOW,avg_wait_STANDARD,avg_wait_PREMIUM,avg_wait_VIP,abandonment_rate_LOW,abandonment_rate_STANDARD,abandonment_rate_PREMIUM,abandonment_rate_VIP,avg_service_time_INQUIRY,avg_service_time_TECHNICAL,avg_service_time_BILLING,avg_service_time_COMPLAINT,customers_handled_JUNIOR,avg_service_time_JUNIOR,customers_handled_STANDARD,avg_service_time_STANDARD,customers_handled_SENIOR,avg_service_time_SENIOR,hourly_arrivals,hourly_completions,peak_hour,throughput,wait_time_ci_low,wait_time_ci_high
Infinite Patience,0.2,0.0,0.0,0.0,0.0,9.243822297131457,9.061844695684965,0.07318025985229071,0.0025547752571747867,0.009954989775776675,0.0,19,0,0.0,0,8.157894736842104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1413814514101,7.162212885542152,10.789716419904956,15.765820963443174,6,9.845844322427281,10,8.851630218719947,3,9.347085174578186,"[6, 1, 1, 3, 2, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 3, 1, 2, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.03958333333333333,,
Infinite Patience,0.3,0.514744549840115,0.0,3.711250200141756,8.140804503512129,8.579757111173642,8.474841192067686,0.10327591149310462,0.0004272750989266901,0.023021768945975445,0.0,28,0,0.0,1,8.178571428571429,1.0,0.0,0.7353493569144499,0.0,0.0,0.0,0.0,0.0,0.0,7.871056492501013,9.905723154946847,7.398486014763243,13.182927479356195,7,8.348912962296003,16,8.237481434796504,5,10.112845049060125,"[3, 3, 3, 0, 3, 4, 2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 2, 1, 3, 0, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.058333333333333334,-0.1272073465838286,1.1566964462640585
Infinite Patience,0.4,0.811357497915635,0.0,5.691078632986255,14.368918987639233,9.864407292033434,9.739504492989912,0.12644687264183882,0.03075384602759249,0.036855258982939884,0.0,30,0,0.0,2,8.033333333333333,0.9666666666666667,0.0,1.516285561350904,0.5919302592984579,0.0,0.0,0.0,0.0,0.0,8.463491771503056,8.90236459893874,11.063972824237934,14.734544302299616,11,9.669605642049305,15,9.166917313983634,4,12.42440118614476,"[1, 3, 3, 0, 1, 5, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 3, 0, 1, 4, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.0625,-0.22243038843572438,1.8451453842669945
Infinite Patience,0.5,0.613140168750754,0.0,3.253687097090813,9.590896908508,9.841525323454388,9.166381332655998,0.1623974923289583,0.010431032808898824,0.017398530136731722,0.0,39,0,0.0,1,7.961538461538462,1.0,0.4407896346632138,0.852880146949019,0.0,0.2794326341627027,0.0,0.0,0.0,0.0,7.691254698506742,11.82450974656794,7.793804547118424,12.279580570736565,15,7.861654817246835,17,11.440330020663822,7,10.156322541023505,"[3, 6, 2, 4, 3, 1, 6, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 7, 3, 4, 3, 1, 5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.08125,0.014295279899068092,1.21198505760244
Infinite Patience,0.6,1.4454270988301208,0.0,8.42155564592385,20.605991966114743,8.548405430451316,7.9064193268073835,0.19197778323594847,0.028833342371625766,0.07435001629016603,0.0,54,0,0.0,3,8.083333333333334,0.9814814814814815,0.25605428546562725,1.863612581291546,1.199212565957555,1.155754788905,0.0,0.0,0.0,0.0,8.409339340136999,8.794069190428667,7.874705180861939,10.354183352478614,16,9.868007233395257,28,8.298546266643722,10,7.054659856869397,"[4, 6, 3, 6, 3, 9, 6, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 5, 4, 6, 2, 9, 7, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.1125,0.3913030537345936,2.4995511439256477
Limited Patience,0.2,0.0,0.0,0.0,0.0,8.946883382137829,9.048265185115394,0.07836160743688045,0.0,0.01627162734273475,0.0,20,0,0.0,0,7.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22454221790407,8.050026527813293,11.475866633729051,15.19119326309778,7,8.185621709485364,11,10.30324140580044,2,3.853781930772016,"[2, 3, 0, 2, 3, 3, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 0, 2, 3, 1, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.041666666666666664,,
Limited Patience,0.3,0.4942333302774321,0.0,2.7982922527233853,9.11901025024872,9.681896596662622,9.916845335970986,0.09643577744040746,0.0,0.005760557767961908,0.0,24,0,0.0,1,8.104166666666666,1.0,0.0,0.7558862698360727,0.0,0.0,0.0,0.0,0.0,0.0,8.308622757642528,8.257793501533286,11.157125105933932,12.715981612591413,9,11.20976953083086,9,8.18292366226204,6,9.426471892080174,"[2, 1, 0, 4, 1, 3, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 2, 2, 4, 4, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.05,,
Limited Patience,0.4,0.42970350380600275,0.0,2.6319920910259733,10.254693717433668,10.08651868939315,9.477893348311834,0.16976872236384413,0.03536765876848662,0.026245946691488935,0.0,40,2,0.047619047619047616,1,8.025,1.0,1.1394104130481852,0.3368695239540324,0.0,0.17964835984594174,0.0,0.08695652173913043,0.0,0.0,8.955945400697201,7.906034851520208,12.047734655776736,14.005758354228261,14,11.230267555320173,15,9.048897976845478,11,10.234433961241518,"[5, 2, 2, 2, 6, 6, 5, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 1, 3, 2, 3, 8, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.08333333333333333,-0.09938034852907951,0.958787356141085
Limited Patience,0.5,0.19195116905065507,0.0,0.3893938199692212,6.077728300399883,10.098018087980691,10.361719652320385,0.15153066085594014,0.027706787737644376,0.03432440038542882,0.0,35,0,0.0,0,8.042857142857143,1.0,0.0,0.24558575700732577,0.0,0.35848178634188343,0.0,0.0,0.0,0.0,9.455911141656676,10.125855013418402,9.906913487685477,11.51302324247555,9,9.960137666455326,16,10.513385247624528,10,9.585099096228447,"[6, 5, 2, 3, 3, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 6, 1, 4, 3, 3, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,0.07291666666666667,-0.1423168754096127,0.5262192135109228
Limited Patience,0.6,0.8364307745143333,0.0,4.6818597894390415,9.353865210469849,9.115330510804657,8.90539775762775,0.2112089279164468,0.029465222259708046,0.07732214282647225,0.0,55,2,0.03508771929824561,2,8.063636363636364,0.9818181818181818,1.11863979838794,0.8463170910871056,0.6795411079064309,0.0,0.0,0.02857142857142857,0.14285714285714285,0.0,8.783753775161548,9.552195507110287,8.46680341398554,9.669224912596372,16,9.441251065629205,26,9.068545194943123,13,8.789895080966641,"[4, 4, 4, 4, 0, 8, 14, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 4, 3, 5, 1, 8, 12, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.11458333333333333,0.31067827860705577,1.3621832704216108
